Borough,Sector,Year,Employee jobs
Barking and Dagenham,"Arts, entertainment and recreation",1999,500
Barking and Dagenham,Other services,1999,1000
Barking and Dagenham,Primary & Utilities,2000,500
Barking and Dagenham,Manufacturing,2000,13000
Barking and Dagenham,Construction,2000,3000
Barking and Dagenham,Wholesale,2000,4500
Barking and Dagenham,Retail,2000,4500
Barking and Dagenham,Transportation and Storage,2000,4500
Barking and Dagenham,Accomodation and food service activities,2000,2000
Barking and Dagenham,Information and Communication,2000,1500
Barking and Dagenham,Financial and insurance activities,2000,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2000,2500
Barking and Dagenham,Administrative and support service activities,2000,3000
Barking and Dagenham,Public Admin and defence,2000,2000
Barking and Dagenham,Education,2000,5000
Barking and Dagenham,Health,2000,3000
Barking and Dagenham,"Arts, entertainment and recreation",2000,800
Barking and Dagenham,Other services,2000,1000
Barking and Dagenham,Primary & Utilities,2001,600
Barking and Dagenham,Manufacturing,2001,11000
Barking and Dagenham,Construction,2001,2500
Barking and Dagenham,Wholesale,2001,4000
Barking and Dagenham,Retail,2001,4500
Barking and Dagenham,Transportation and Storage,2001,4000
Barking and Dagenham,Accomodation and food service activities,2001,2000
Barking and Dagenham,Information and Communication,2001,1250
Barking and Dagenham,Financial and insurance activities,2001,1500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2001,2250
Barking and Dagenham,Administrative and support service activities,2001,3000
Barking and Dagenham,Public Admin and defence,2001,2250
Barking and Dagenham,Education,2001,5000
Barking and Dagenham,Health,2001,3000
Barking and Dagenham,"Arts, entertainment and recreation",2001,500
Barking and Dagenham,Other services,2001,1000
Barking and Dagenham,Primary & Utilities,2002,500
Barking and Dagenham,Manufacturing,2002,10000
Barking and Dagenham,Construction,2002,2250
Barking and Dagenham,Wholesale,2002,4500
Barking and Dagenham,Retail,2002,4500
Barking and Dagenham,Transportation and Storage,2002,4000
Barking and Dagenham,Accomodation and food service activities,2002,2000
Barking and Dagenham,Information and Communication,2002,1500
Barking and Dagenham,Financial and insurance activities,2002,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2002,2500
Barking and Dagenham,Administrative and support service activities,2002,3500
Barking and Dagenham,Public Admin and defence,2002,2000
Barking and Dagenham,Education,2002,5000
Barking and Dagenham,Health,2002,3000
Barking and Dagenham,"Arts, entertainment and recreation",2002,500
Barking and Dagenham,Other services,2002,1000
Barking and Dagenham,Primary & Utilities,2003,450
Barking and Dagenham,Manufacturing,2003,10000
Barking and Dagenham,Construction,2003,2000
Barking and Dagenham,Wholesale,2003,5000
Barking and Dagenham,Retail,2003,5000
Barking and Dagenham,Transportation and Storage,2003,3500
Barking and Dagenham,Accomodation and food service activities,2003,2500
Barking and Dagenham,Information and Communication,2003,1250
Barking and Dagenham,Financial and insurance activities,2003,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2003,2500
Barking and Dagenham,Administrative and support service activities,2003,3000
Barking and Dagenham,Public Admin and defence,2003,2250
Barking and Dagenham,Education,2003,6000
Barking and Dagenham,Health,2003,4000
Barking and Dagenham,"Arts, entertainment and recreation",2003,500
Barking and Dagenham,Other services,2003,1000
Barking and Dagenham,Primary & Utilities,2004,450
Barking and Dagenham,Manufacturing,2004,10000
Barking and Dagenham,Construction,2004,1750
Barking and Dagenham,Wholesale,2004,5000
Barking and Dagenham,Retail,2004,4500
Barking and Dagenham,Transportation and Storage,2004,3000
Barking and Dagenham,Accomodation and food service activities,2004,2500
Barking and Dagenham,Information and Communication,2004,1500
Barking and Dagenham,Financial and insurance activities,2004,1250
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2004,2250
Barking and Dagenham,Administrative and support service activities,2004,3000
Barking and Dagenham,Public Admin and defence,2004,2000
Barking and Dagenham,Education,2004,6000
Barking and Dagenham,Health,2004,4500
Barking and Dagenham,"Arts, entertainment and recreation",2004,600
Barking and Dagenham,Other services,2004,1000
Barking and Dagenham,Primary & Utilities,2005,500
Barking and Dagenham,Manufacturing,2005,9000
Barking and Dagenham,Construction,2005,2500
Barking and Dagenham,Wholesale,2005,5000
Barking and Dagenham,Retail,2005,4500
Barking and Dagenham,Transportation and Storage,2005,3000
Barking and Dagenham,Accomodation and food service activities,2005,2250
Barking and Dagenham,Information and Communication,2005,1250
Barking and Dagenham,Financial and insurance activities,2005,1250
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2005,2250
Barking and Dagenham,Administrative and support service activities,2005,2500
Barking and Dagenham,Public Admin and defence,2005,2500
Barking and Dagenham,Education,2005,5000
Barking and Dagenham,Health,2005,3500
Barking and Dagenham,"Arts, entertainment and recreation",2005,500
Barking and Dagenham,Other services,2005,1000
Barking and Dagenham,Primary & Utilities,2006,450
Barking and Dagenham,Manufacturing,2006,8000
Barking and Dagenham,Construction,2006,3000
Barking and Dagenham,Wholesale,2006,5000
Barking and Dagenham,Retail,2006,4000
Barking and Dagenham,Transportation and Storage,2006,3000
Barking and Dagenham,Accomodation and food service activities,2006,2250
Barking and Dagenham,Information and Communication,2006,1250
Barking and Dagenham,Financial and insurance activities,2006,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2006,2500
Barking and Dagenham,Administrative and support service activities,2006,3000
Barking and Dagenham,Public Admin and defence,2006,2000
Barking and Dagenham,Education,2006,6000
Barking and Dagenham,Health,2006,3500
Barking and Dagenham,"Arts, entertainment and recreation",2006,600
Barking and Dagenham,Other services,2006,900
Barking and Dagenham,Primary & Utilities,2007,500
Barking and Dagenham,Manufacturing,2007,8000
Barking and Dagenham,Construction,2007,2250
Barking and Dagenham,Wholesale,2007,5000
Barking and Dagenham,Retail,2007,4500
Barking and Dagenham,Transportation and Storage,2007,3500
Barking and Dagenham,Accomodation and food service activities,2007,2250
Barking and Dagenham,Information and Communication,2007,1250
Barking and Dagenham,Financial and insurance activities,2007,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2007,2500
Barking and Dagenham,Administrative and support service activities,2007,2500
Barking and Dagenham,Public Admin and defence,2007,2250
Barking and Dagenham,Education,2007,6000
Barking and Dagenham,Health,2007,3500
Barking and Dagenham,"Arts, entertainment and recreation",2007,600
Barking and Dagenham,Other services,2007,800
Barking and Dagenham,Primary & Utilities,2008,500
Barking and Dagenham,Manufacturing,2008,8000
Barking and Dagenham,Construction,2008,2500
Barking and Dagenham,Wholesale,2008,5000
Barking and Dagenham,Retail,2008,4500
Barking and Dagenham,Transportation and Storage,2008,3500
Barking and Dagenham,Accomodation and food service activities,2008,2000
Barking and Dagenham,Information and Communication,2008,1500
Barking and Dagenham,Financial and insurance activities,2008,900
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2008,2500
Barking and Dagenham,Administrative and support service activities,2008,2500
Barking and Dagenham,Public Admin and defence,2008,1750
Barking and Dagenham,Education,2008,6000
Barking and Dagenham,Health,2008,4000
Barking and Dagenham,"Arts, entertainment and recreation",2008,700
Barking and Dagenham,Other services,2008,700
Barking and Dagenham,Primary & Utilities,2009,450
Barking and Dagenham,Manufacturing,2009,7000
Barking and Dagenham,Construction,2009,2000
Barking and Dagenham,Wholesale,2009,4500
Barking and Dagenham,Retail,2009,4500
Barking and Dagenham,Transportation and Storage,2009,3500
Barking and Dagenham,Accomodation and food service activities,2009,1750
Barking and Dagenham,Information and Communication,2009,700
Barking and Dagenham,Financial and insurance activities,2009,900
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2009,1750
Barking and Dagenham,Administrative and support service activities,2009,4500
Barking and Dagenham,Public Admin and defence,2009,1750
Barking and Dagenham,Education,2009,5000
Barking and Dagenham,Health,2009,4000
Barking and Dagenham,"Arts, entertainment and recreation",2009,900
Barking and Dagenham,Other services,2009,600
Barking and Dagenham,Primary & Utilities,2010,900
Barking and Dagenham,Manufacturing,2010,6000
Barking and Dagenham,Construction,2010,2250
Barking and Dagenham,Wholesale,2010,4500
Barking and Dagenham,Retail,2010,4000
Barking and Dagenham,Transportation and Storage,2010,4000
Barking and Dagenham,Accomodation and food service activities,2010,2000
Barking and Dagenham,Information and Communication,2010,600
Barking and Dagenham,Financial and insurance activities,2010,1500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2010,1750
Barking and Dagenham,Administrative and support service activities,2010,5000
Barking and Dagenham,Public Admin and defence,2010,2500
Barking and Dagenham,Education,2010,6000
Barking and Dagenham,Health,2010,5000
Barking and Dagenham,"Arts, entertainment and recreation",2010,1250
Barking and Dagenham,Other services,2010,900
Barking and Dagenham,Primary & Utilities,2011,700
Barking and Dagenham,Manufacturing,2011,7000
Barking and Dagenham,Construction,2011,2500
Barking and Dagenham,Wholesale,2011,4500
Barking and Dagenham,Retail,2011,4000
Barking and Dagenham,Transportation and Storage,2011,4000
Barking and Dagenham,Accomodation and food service activities,2011,1750
Barking and Dagenham,Information and Communication,2011,800
Barking and Dagenham,Financial and insurance activities,2011,800
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2011,1750
Barking and Dagenham,Administrative and support service activities,2011,5000
Barking and Dagenham,Public Admin and defence,2011,3000
Barking and Dagenham,Education,2011,5000
Barking and Dagenham,Health,2011,4000
Barking and Dagenham,"Arts, entertainment and recreation",2011,1500
Barking and Dagenham,Other services,2011,900
Barking and Dagenham,Primary & Utilities,2012,700
Barking and Dagenham,Manufacturing,2012,6000
Barking and Dagenham,Construction,2012,3000
Barking and Dagenham,Wholesale,2012,5000
Barking and Dagenham,Retail,2012,4500
Barking and Dagenham,Transportation and Storage,2012,3500
Barking and Dagenham,Accomodation and food service activities,2012,1750
Barking and Dagenham,Information and Communication,2012,800
Barking and Dagenham,Financial and insurance activities,2012,600
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2012,1750
Barking and Dagenham,Administrative and support service activities,2012,4500
Barking and Dagenham,Public Admin and defence,2012,3000
Barking and Dagenham,Education,2012,5000
Barking and Dagenham,Health,2012,4500
Barking and Dagenham,"Arts, entertainment and recreation",2012,2500
Barking and Dagenham,Other services,2012,900
Barking and Dagenham,Primary & Utilities,2013,500
Barking and Dagenham,Manufacturing,2013,6000
Barking and Dagenham,Construction,2013,2500
Barking and Dagenham,Wholesale,2013,5000
Barking and Dagenham,Retail,2013,4500
Barking and Dagenham,Transportation and Storage,2013,3500
Barking and Dagenham,Accomodation and food service activities,2013,2000
Barking and Dagenham,Information and Communication,2013,900
Barking and Dagenham,Financial and insurance activities,2013,600
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2013,2000
Barking and Dagenham,Administrative and support service activities,2013,5000
Barking and Dagenham,Public Admin and defence,2013,3000
Barking and Dagenham,Education,2013,6000
Barking and Dagenham,Health,2013,5000
Barking and Dagenham,"Arts, entertainment and recreation",2013,2250
Barking and Dagenham,Other services,2013,1000
Barking and Dagenham,Primary & Utilities,2014,1000
Barking and Dagenham,Manufacturing,2014,5000
Barking and Dagenham,Construction,2014,2500
Barking and Dagenham,Wholesale,2014,5000
Barking and Dagenham,Retail,2014,4500
Barking and Dagenham,Transportation and Storage,2014,3500
Barking and Dagenham,Accomodation and food service activities,2014,2000
Barking and Dagenham,Information and Communication,2014,1000
Barking and Dagenham,Financial and insurance activities,2014,500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2014,2250
Barking and Dagenham,Administrative and support service activities,2014,6000
Barking and Dagenham,Public Admin and defence,2014,2500
Barking and Dagenham,Education,2014,6000
Barking and Dagenham,Health,2014,5000
Barking and Dagenham,"Arts, entertainment and recreation",2014,1500
Barking and Dagenham,Other services,2014,800
Barking and Dagenham,Primary & Utilities,2015,800
Barking and Dagenham,Manufacturing,2015,5000
Barking and Dagenham,Construction,2015,2250
Barking and Dagenham,Wholesale,2015,5000
Barking and Dagenham,Retail,2015,4500
Barking and Dagenham,Transportation and Storage,2015,4000
Barking and Dagenham,Accomodation and food service activities,2015,2250
Barking and Dagenham,Information and Communication,2015,1000
Barking and Dagenham,Financial and insurance activities,2015,500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2015,2250
Barking and Dagenham,Administrative and support service activities,2015,5000
Barking and Dagenham,Public Admin and defence,2015,2500
Barking and Dagenham,Education,2015,6000
Barking and Dagenham,Health,2015,6000
Barking and Dagenham,"Arts, entertainment and recreation",2015,1250
Barking and Dagenham,Other services,2015,900
Barking and Dagenham,Primary & Utilities,2016,700
Barking and Dagenham,Manufacturing,2016,5000
Barking and Dagenham,Construction,2016,3000
Barking and Dagenham,Wholesale,2016,5000
Barking and Dagenham,Retail,2016,5000
Barking and Dagenham,Transportation and Storage,2016,4500
Barking and Dagenham,Accomodation and food service activities,2016,2250
Barking and Dagenham,Information and Communication,2016,1500
Barking and Dagenham,Financial and insurance activities,2016,500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2016,3000
Barking and Dagenham,Administrative and support service activities,2016,5000
Barking and Dagenham,Public Admin and defence,2016,2500
Barking and Dagenham,Education,2016,6000
Barking and Dagenham,Health,2016,6000
Barking and Dagenham,"Arts, entertainment and recreation",2016,1500
Barking and Dagenham,Other services,2016,1000
Barking and Dagenham,Primary & Utilities,2017,800
Barking and Dagenham,Manufacturing,2017,4500
Barking and Dagenham,Construction,2017,3500
Barking and Dagenham,Wholesale,2017,6000
Barking and Dagenham,Retail,2017,5000
Barking and Dagenham,Transportation and Storage,2017,5000
Barking and Dagenham,Accomodation and food service activities,2017,2500
Barking and Dagenham,Information and Communication,2017,1500
Barking and Dagenham,Financial and insurance activities,2017,500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2017,2250
Barking and Dagenham,Administrative and support service activities,2017,6000
Barking and Dagenham,Public Admin and defence,2017,2250
Barking and Dagenham,Education,2017,7000
Barking and Dagenham,Health,2017,6000
Barking and Dagenham,"Arts, entertainment and recreation",2017,1000
Barking and Dagenham,Other services,2017,1000
Barking and Dagenham,Primary & Utilities,2018,700
Barking and Dagenham,Manufacturing,2018,4500
Barking and Dagenham,Construction,2018,3500
Barking and Dagenham,Wholesale,2018,6000
Barking and Dagenham,Retail,2018,5000
Barking and Dagenham,Transportation and Storage,2018,4500
Barking and Dagenham,Accomodation and food service activities,2018,2500
Barking and Dagenham,Information and Communication,2018,1500
Barking and Dagenham,Financial and insurance activities,2018,500
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2018,2250
Barking and Dagenham,Administrative and support service activities,2018,7000
Barking and Dagenham,Public Admin and defence,2018,2000
Barking and Dagenham,Education,2018,6000
Barking and Dagenham,Health,2018,5000
Barking and Dagenham,"Arts, entertainment and recreation",2018,1000
Barking and Dagenham,Other services,2018,1000
Barking and Dagenham,Primary & Utilities,2019,900
Barking and Dagenham,Manufacturing,2019,4500
Barking and Dagenham,Construction,2019,4000
Barking and Dagenham,Wholesale,2019,6000
Barking and Dagenham,Retail,2019,4500
Barking and Dagenham,Transportation and Storage,2019,6000
Barking and Dagenham,Accomodation and food service activities,2019,3000
Barking and Dagenham,Information and Communication,2019,1500
Barking and Dagenham,Financial and insurance activities,2019,450
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2019,2500
Barking and Dagenham,Administrative and support service activities,2019,7000
Barking and Dagenham,Public Admin and defence,2019,2250
Barking and Dagenham,Education,2019,7000
Barking and Dagenham,Health,2019,5000
Barking and Dagenham,"Arts, entertainment and recreation",2019,900
Barking and Dagenham,Other services,2019,1000
Barking and Dagenham,Primary & Utilities,2020,900
Barking and Dagenham,Manufacturing,2020,4500
Barking and Dagenham,Construction,2020,4000
Barking and Dagenham,Wholesale,2020,6000
Barking and Dagenham,Retail,2020,6000
Barking and Dagenham,Transportation and Storage,2020,6000
Barking and Dagenham,Accomodation and food service activities,2020,3000
Barking and Dagenham,Information and Communication,2020,1000
Barking and Dagenham,Financial and insurance activities,2020,400
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2020,2500
Barking and Dagenham,Administrative and support service activities,2020,7000
Barking and Dagenham,Public Admin and defence,2020,2500
Barking and Dagenham,Education,2020,7000
Barking and Dagenham,Health,2020,6000
Barking and Dagenham,"Arts, entertainment and recreation",2020,900
Barking and Dagenham,Other services,2020,900
Barking and Dagenham,Primary & Utilities,2021,800
Barking and Dagenham,Manufacturing,2021,4500
Barking and Dagenham,Construction,2021,4000
Barking and Dagenham,Wholesale,2021,5000
Barking and Dagenham,Retail,2021,6000
Barking and Dagenham,Transportation and Storage,2021,6000
Barking and Dagenham,Accomodation and food service activities,2021,3000
Barking and Dagenham,Information and Communication,2021,1000
Barking and Dagenham,Financial and insurance activities,2021,400
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",2021,3000
Barking and Dagenham,Administrative and support service activities,2021,7000
Barking and Dagenham,Public Admin and defence,2021,2500
Barking and Dagenham,Education,2021,7000
Barking and Dagenham,Health,2021,6000
Barking and Dagenham,"Arts, entertainment and recreation",2021,900
Barking and Dagenham,Other services,2021,900
Barnet,Primary & Utilities,1996,800
Barnet,Manufacturing,1996,4500
Barnet,Construction,1996,4500
Barnet,Wholesale,1996,8000
Barnet,Retail,1996,14000
Barnet,Transportation and Storage,1996,3500
Barnet,Accomodation and food service activities,1996,5000
Barnet,Information and Communication,1996,4500
Barnet,Financial and insurance activities,1996,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",1996,11000
Barnet,Administrative and support service activities,1996,9000
Barnet,Public Admin and defence,1996,5000
Barnet,Education,1996,7000
Barnet,Health,1996,14000
Barnet,"Arts, entertainment and recreation",1996,2250
Barnet,Other services,1996,3000
Barnet,Primary & Utilities,1997,800
Barnet,Manufacturing,1997,5000
Barnet,Construction,1997,4500
Barnet,Wholesale,1997,8000
Barnet,Retail,1997,15000
Barnet,Transportation and Storage,1997,4500
Barnet,Accomodation and food service activities,1997,7000
Barnet,Information and Communication,1997,6000
Barnet,Financial and insurance activities,1997,4000
Barnet,"Professional, Real Estate, Scientific and technical activities",1997,12000
Barnet,Administrative and support service activities,1997,9000
Barnet,Public Admin and defence,1997,5000
Barnet,Education,1997,8000
Barnet,Health,1997,13000
Barnet,"Arts, entertainment and recreation",1997,2000
Barnet,Other services,1997,3500
Barnet,Primary & Utilities,1998,1000
Barnet,Manufacturing,1998,4500
Barnet,Construction,1998,5000
Barnet,Wholesale,1998,8000
Barnet,Retail,1998,17000
Barnet,Transportation and Storage,1998,4500
Barnet,Accomodation and food service activities,1998,7000
Barnet,Information and Communication,1998,6000
Barnet,Financial and insurance activities,1998,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",1998,12000
Barnet,Administrative and support service activities,1998,9000
Barnet,Public Admin and defence,1998,6000
Barnet,Education,1998,8000
Barnet,Health,1998,14000
Barnet,"Arts, entertainment and recreation",1998,1750
Barnet,Other services,1998,3500
Barnet,Primary & Utilities,1999,800
Barnet,Manufacturing,1999,5000
Barnet,Construction,1999,5000
Barnet,Wholesale,1999,9000
Barnet,Retail,1999,18000
Barnet,Transportation and Storage,1999,5000
Barnet,Accomodation and food service activities,1999,8000
Barnet,Information and Communication,1999,8000
Barnet,Financial and insurance activities,1999,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",1999,12000
Barnet,Administrative and support service activities,1999,9000
Barnet,Public Admin and defence,1999,5000
Barnet,Education,1999,8000
Barnet,Health,1999,13000
Barnet,"Arts, entertainment and recreation",1999,2000
Barnet,Other services,1999,4000
Barnet,Primary & Utilities,2000,500
Barnet,Manufacturing,2000,4500
Barnet,Construction,2000,7000
Barnet,Wholesale,2000,9000
Barnet,Retail,2000,17000
Barnet,Transportation and Storage,2000,4500
Barnet,Accomodation and food service activities,2000,8000
Barnet,Information and Communication,2000,8000
Barnet,Financial and insurance activities,2000,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",2000,12000
Barnet,Administrative and support service activities,2000,9000
Barnet,Public Admin and defence,2000,6000
Barnet,Education,2000,8000
Barnet,Health,2000,14000
Barnet,"Arts, entertainment and recreation",2000,1750
Barnet,Other services,2000,3500
Barnet,Primary & Utilities,2001,500
Barnet,Manufacturing,2001,3500
Barnet,Construction,2001,7000
Barnet,Wholesale,2001,9000
Barnet,Retail,2001,17000
Barnet,Transportation and Storage,2001,4000
Barnet,Accomodation and food service activities,2001,8000
Barnet,Information and Communication,2001,8000
Barnet,Financial and insurance activities,2001,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",2001,12000
Barnet,Administrative and support service activities,2001,10000
Barnet,Public Admin and defence,2001,6000
Barnet,Education,2001,8000
Barnet,Health,2001,14000
Barnet,"Arts, entertainment and recreation",2001,2000
Barnet,Other services,2001,3500
Barnet,Primary & Utilities,2002,450
Barnet,Manufacturing,2002,4500
Barnet,Construction,2002,5000
Barnet,Wholesale,2002,8000
Barnet,Retail,2002,16000
Barnet,Transportation and Storage,2002,3500
Barnet,Accomodation and food service activities,2002,8000
Barnet,Information and Communication,2002,7000
Barnet,Financial and insurance activities,2002,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",2002,12000
Barnet,Administrative and support service activities,2002,9000
Barnet,Public Admin and defence,2002,7000
Barnet,Education,2002,9000
Barnet,Health,2002,13000
Barnet,"Arts, entertainment and recreation",2002,2000
Barnet,Other services,2002,3500
Barnet,Primary & Utilities,2003,300
Barnet,Manufacturing,2003,3500
Barnet,Construction,2003,4500
Barnet,Wholesale,2003,8000
Barnet,Retail,2003,17000
Barnet,Transportation and Storage,2003,4000
Barnet,Accomodation and food service activities,2003,8000
Barnet,Information and Communication,2003,7000
Barnet,Financial and insurance activities,2003,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",2003,12000
Barnet,Administrative and support service activities,2003,9000
Barnet,Public Admin and defence,2003,7000
Barnet,Education,2003,9000
Barnet,Health,2003,12000
Barnet,"Arts, entertainment and recreation",2003,1750
Barnet,Other services,2003,3000
Barnet,Primary & Utilities,2004,300
Barnet,Manufacturing,2004,3500
Barnet,Construction,2004,5000
Barnet,Wholesale,2004,8000
Barnet,Retail,2004,17000
Barnet,Transportation and Storage,2004,3500
Barnet,Accomodation and food service activities,2004,8000
Barnet,Information and Communication,2004,6000
Barnet,Financial and insurance activities,2004,3000
Barnet,"Professional, Real Estate, Scientific and technical activities",2004,12000
Barnet,Administrative and support service activities,2004,9000
Barnet,Public Admin and defence,2004,8000
Barnet,Education,2004,9000
Barnet,Health,2004,13000
Barnet,"Arts, entertainment and recreation",2004,2500
Barnet,Other services,2004,3000
Barnet,Primary & Utilities,2005,350
Barnet,Manufacturing,2005,3000
Barnet,Construction,2005,5000
Barnet,Wholesale,2005,8000
Barnet,Retail,2005,17000
Barnet,Transportation and Storage,2005,4000
Barnet,Accomodation and food service activities,2005,7000
Barnet,Information and Communication,2005,6000
Barnet,Financial and insurance activities,2005,3000
Barnet,"Professional, Real Estate, Scientific and technical activities",2005,13000
Barnet,Administrative and support service activities,2005,10000
Barnet,Public Admin and defence,2005,8000
Barnet,Education,2005,9000
Barnet,Health,2005,14000
Barnet,"Arts, entertainment and recreation",2005,2250
Barnet,Other services,2005,3500
Barnet,Primary & Utilities,2006,500
Barnet,Manufacturing,2006,3000
Barnet,Construction,2006,5000
Barnet,Wholesale,2006,7000
Barnet,Retail,2006,17000
Barnet,Transportation and Storage,2006,4000
Barnet,Accomodation and food service activities,2006,7000
Barnet,Information and Communication,2006,6000
Barnet,Financial and insurance activities,2006,3500
Barnet,"Professional, Real Estate, Scientific and technical activities",2006,14000
Barnet,Administrative and support service activities,2006,9000
Barnet,Public Admin and defence,2006,8000
Barnet,Education,2006,9000
Barnet,Health,2006,14000
Barnet,"Arts, entertainment and recreation",2006,2500
Barnet,Other services,2006,3500
Barnet,Primary & Utilities,2007,400
Barnet,Manufacturing,2007,3000
Barnet,Construction,2007,5000
Barnet,Wholesale,2007,7000
Barnet,Retail,2007,17000
Barnet,Transportation and Storage,2007,4000
Barnet,Accomodation and food service activities,2007,7000
Barnet,Information and Communication,2007,6000
Barnet,Financial and insurance activities,2007,3000
Barnet,"Professional, Real Estate, Scientific and technical activities",2007,13000
Barnet,Administrative and support service activities,2007,9000
Barnet,Public Admin and defence,2007,7000
Barnet,Education,2007,9000
Barnet,Health,2007,13000
Barnet,"Arts, entertainment and recreation",2007,2250
Barnet,Other services,2007,3500
Barnet,Primary & Utilities,2008,500
Barnet,Manufacturing,2008,3000
Barnet,Construction,2008,5000
Barnet,Wholesale,2008,7000
Barnet,Retail,2008,17000
Barnet,Transportation and Storage,2008,4000
Barnet,Accomodation and food service activities,2008,8000
Barnet,Information and Communication,2008,6000
Barnet,Financial and insurance activities,2008,2500
Barnet,"Professional, Real Estate, Scientific and technical activities",2008,14000
Barnet,Administrative and support service activities,2008,9000
Barnet,Public Admin and defence,2008,8000
Barnet,Education,2008,10000
Barnet,Health,2008,15000
Barnet,"Arts, entertainment and recreation",2008,2500
